"vuosi","nimi","kuvan_url","tietoja_sivu"
"1970","Teuvo Aura (samana vuonna Ahti Karjalainen)","http://www.blf.fi/artiklar/foton/659.jpg","https://fi.wikipedia.org/wiki/Teuvo_Aura"
"1971","Teuvo Aura","http://www.blf.fi/artiklar/foton/659.jpg","https://fi.wikipedia.org/wiki/Teuvo_Aura"
"1972","Rafael Paasio","http://www.blf.fi/artiklar/foton/645.jpg","https://fi.wikipedia.org/wiki/Rafael_Paasio"
"1973","Kalevi Sorsa","https://upload.wikimedia.org/wikipedia/commons/0/07/Kalevi_Sorsa.jpg","https://fi.wikipedia.org/wiki/Kalevi_Sorsa"
"1974","Kalevi Sorsa","https://upload.wikimedia.org/wikipedia/commons/0/07/Kalevi_Sorsa.jpg","https://fi.wikipedia.org/wiki/Kalevi_Sorsa"
"1975","Keijo Liinamaa","http://www.blf.fi/artiklar/foton/737.jpg","https://fi.wikipedia.org/wiki/Keijo_Liinamaa"
"1976","Martti Miettunen","https://upload.wikimedia.org/wikipedia/commons/2/29/Martti-Miettunen.jpg","https://fi.wikipedia.org/wiki/Martti_Miettunen"
"1977","Kalevi Sorsa","https://upload.wikimedia.org/wikipedia/commons/0/07/Kalevi_Sorsa.jpg","https://fi.wikipedia.org/wiki/Kalevi_Sorsa"
"1978","Kalevi Sorsa","https://upload.wikimedia.org/wikipedia/commons/0/07/Kalevi_Sorsa.jpg","https://fi.wikipedia.org/wiki/Kalevi_Sorsa"
"1979","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1980","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1981","Mauno Koivisto","http://tietoasuomi.suntuubi.com/datafiles/gallery/3/Mauno%20Koivisto.jpg","https://fi.wikipedia.org/wiki/Mauno_Koivisto"
"1982","Kalevi Sorsa","https://upload.wikimedia.org/wikipedia/commons/0/07/Kalevi_Sorsa.jpg","https://fi.wikipedia.org/wiki/Kalevi_Sorsa"
