AID,SERVICE,MID
7-1019713,arkivet,26-63388
7-1019713,arkivet,26-110429
7-1019713,arkivet,26-110430
7-1019713,arkivet,26-110417
7-1019713,arkivet,26-110506
7-1019713,arkivet,26-110416
7-1019713,arkivet,26-106064
7-990159,arkivet,26-110698
7-1012949,arkivet,26-110727
7-1012949,arkivet,26-110697
7-1012949,arkivet,26-110700
7-1012949,arkivet,26-110696
7-1012849,arkivet,26-110706
7-1012849,arkivet,26-110710
7-1012849,arkivet,26-60670
7-1012849,arkivet,26-110708
7-1012849,arkivet,26-110724
7-1012849,arkivet,26-110704
7-1012849,arkivet,26-110707
7-1012849,arkivet,26-110703
7-1012849,arkivet,26-110701
7-1012849,arkivet,26-110702
7-1012849,arkivet,26-110709
7-1012849,arkivet,26-110705
7-1012453,arkivet,26-110690
7-973561,arkivet,26-60045
7-973561,arkivet,26-59997
7-1003229,arkivet,26-110521
7-1003229,arkivet,26-110519
7-1003229,arkivet,26-110520
7-1003229,arkivet,26-110523
7-1003229,arkivet,26-110524
7-992898,arkivet,26-110435
7-992898,arkivet,26-110424
7-992898,arkivet,26-110427
7-992898,arkivet,26-110432
7-992898,arkivet,26-110423
7-992898,arkivet,26-110429
7-992898,arkivet,26-110430
7-992898,arkivet,26-110418
7-992898,arkivet,26-110416
7-992898,arkivet,26-110419
7-992898,arkivet,26-110426
7-992898,arkivet,26-110422
7-992898,arkivet,26-110425
7-992898,arkivet,26-110417
7-992898,arkivet,26-110421
7-992187,arkivet,26-110410
7-992187,arkivet,26-110409
7-992187,arkivet,26-110408
7-992187,arkivet,26-110515
7-986694,arkivet,26-110322
7-986694,arkivet,26-110321
7-986347,arkivet,26-110314
7-976476,arkivet,26-110067
7-976476,arkivet,26-110094
7-974260,arkivet,26-110042
7-972733,arkivet,26-110031
7-972733,arkivet,26-110027
7-972733,arkivet,26-110029
7-972733,arkivet,26-112098
7-972733,arkivet,26-109998
7-972733,arkivet,26-110032
7-972733,arkivet,26-110033
7-972733,arkivet,26-110028
7-972733,arkivet,26-110030
7-969393,arkivet,26-109991
7-969393,arkivet,26-109959
7-969393,arkivet,26-109937
7-969393,arkivet,26-109934
7-969393,arkivet,26-109938
7-968920,arkivet,26-109931
7-968920,arkivet,26-79202
7-968920,arkivet,26-109929
7-967051,arkivet,26-109915
7-967051,arkivet,26-109913
7-967051,arkivet,26-109916
7-967051,arkivet,26-109911
7-967051,arkivet,26-109914
7-967051,arkivet,26-109912
7-967051,arkivet,26-109910
7-963949,arkivet,26-109863
7-963949,arkivet,26-109860
7-963949,arkivet,26-109861
7-963949,arkivet,26-109827
7-963949,arkivet,26-109862
7-930953,arkivet,26-108959
7-930953,arkivet,26-108958
7-960644,arkivet,26-109791
7-960644,arkivet,26-109789
7-960644,arkivet,26-109792
7-960644,arkivet,26-109787
7-960644,arkivet,26-109829
7-960644,arkivet,26-109786
7-960644,arkivet,26-109790
7-960644,arkivet,26-109828
7-960644,arkivet,26-109788
7-960644,arkivet,26-109793
7-960644,arkivet,26-109784
7-960644,arkivet,26-109785
7-960644,arkivet,26-60698
7-947702,arkivet,26-109337
7-947702,arkivet,26-109288
7-947702,arkivet,26-109286
7-946145,arkivet,26-109249
7-946145,arkivet,26-109247
7-934885,arkivet,26-109082
7-930930,arkivet,26-108970
7-930930,arkivet,26-108980
7-930930,arkivet,26-108960
7-930930,arkivet,26-108972
7-930930,arkivet,26-108971
7-930930,arkivet,26-108962
7-930930,arkivet,26-108963
7-930930,arkivet,26-108961
7-930930,arkivet,26-108973
7-930930,arkivet,26-108957
7-888307,arkivet,26-68067
7-888307,arkivet,26-108586
7-888307,arkivet,26-108585
7-888307,arkivet,26-108633
7-888307,arkivet,26-108634
7-888307,arkivet,26-108584
7-888307,arkivet,26-108582
7-888307,arkivet,26-108587
7-931124,arkivet,26-109017
7-918327,arkivet,26-108692
7-918327,arkivet,26-108693
7-918327,arkivet,26-108694
7-918327,arkivet,26-108695
7-919858,arkivet,26-108740
7-919858,arkivet,26-108744
7-919858,arkivet,26-108739
7-919858,arkivet,26-108742
7-919858,arkivet,26-108741
7-919858,arkivet,26-108743
7-919858,arkivet,26-108736
7-919858,arkivet,26-108738
7-919858,arkivet,26-108737
7-916861,arkivet,26-108658
7-916861,arkivet,26-108659
7-916861,arkivet,26-108660
7-916094,arkivet,26-58409
7-913066,arkivet,26-66292
7-913066,arkivet,26-77484
7-911539,arkivet,26-69550
7-911539,arkivet,26-
7-911539,arkivet,26-57776
7-908526,arkivet,26-819
7-889209,arkivet,26-91988
7-889209,arkivet,26-108516
7-889209,arkivet,26-108515
7-889209,arkivet,26-108518
7-889209,arkivet,26-108519
7-889209,arkivet,26-69054
7-907183,arkivet,26-32659
7-885187,arkivet,26-60281
7-885187,arkivet,26-60282
7-885187,arkivet,26-60283
7-885187,arkivet,26-60285
7-885187,arkivet,26-60290
7-885187,arkivet,26-60293
7-906506,arkivet,26-108505
7-906506,arkivet,26-66812
7-906506,arkivet,26-108502
7-906506,arkivet,26-108506
7-906506,arkivet,26-108497
7-906506,arkivet,26-108500
7-906506,arkivet,26-108499
7-906506,arkivet,26-108498
7-906506,arkivet,26-108495
7-906506,arkivet,26-108503
7-904190,arkivet,26-66932
7-904190,arkivet,26-66910
7-904190,arkivet,26-60698
7-904190,arkivet,26-64831
7-904190,arkivet,26-108303
7-904190,arkivet,26-25620
7-904190,arkivet,26-107622
7-903248,arkivet,26-108442
7-886631,arkivet,26-64006
7-886631,arkivet,26-108419
7-886631,arkivet,26-108423
7-886631,arkivet,26-108420
7-886631,arkivet,26-108433
7-886631,arkivet,26-108432
7-886631,arkivet,26-108418
7-886631,arkivet,26-108422
7-900785,arkivet,26-108411
7-900785,arkivet,26-108414
7-900785,arkivet,26-108413
7-900440,arkivet,26-108399
7-900440,arkivet,26-108412
7-900440,arkivet,26-108397
7-900440,arkivet,26-108396
7-900440,arkivet,26-108395
7-898537,arkivet,26-91683
7-897396,arkivet,26-108367
7-897396,arkivet,26-108371
7-897396,arkivet,26-108369
7-897396,arkivet,26-108374
7-897396,arkivet,26-108373
7-892950,arkivet,26-108302
7-892950,arkivet,26-108303
7-892950,arkivet,26-108300
7-892950,arkivet,26-108301
7-890546,arkivet,26-78398
7-889794,arkivet,26-108213
7-889794,arkivet,26-108275
7-889794,arkivet,26-108231
7-889794,arkivet,26-108212
7-889791,arkivet,26-108100
7-889791,arkivet,26-108101
7-889791,arkivet,26-108102
7-889791,arkivet,26-108103
7-889791,arkivet,26-108097
7-889788,arkivet,26-107978
7-889788,arkivet,26-108003
7-889788,arkivet,26-107983
7-889788,arkivet,26-107992
7-889788,arkivet,26-107994
7-889788,arkivet,26-107989
7-889788,arkivet,26-107991
7-889788,arkivet,26-107990
7-889788,arkivet,26-107988
7-889788,arkivet,26-107993
7-889788,arkivet,26-107987
7-889785,arkivet,26-107910
7-889785,arkivet,26-107913
7-889785,arkivet,26-107916
7-889785,arkivet,26-107908
7-889785,arkivet,26-107911
7-889782,arkivet,26-107886
7-889782,arkivet,26-107891
7-889782,arkivet,26-107889
7-889782,arkivet,26-107888
7-888278,arkivet,26-107881
7-889603,arkivet,26-107536
7-889603,arkivet,26-107580
7-889603,arkivet,26-107592
7-885651,arkivet,26-107537
7-885651,arkivet,26-107538
7-885651,arkivet,26-107540
7-885651,arkivet,26-67748
7-885651,arkivet,26-107583
7-885651,arkivet,26-107587
7-885651,arkivet,26-107589
7-885651,arkivet,26-107586
7-885651,arkivet,26-107625
7-889577,arkivet,26-107518
7-889577,arkivet,26-107519
7-889769,arkivet,26-107490
7-889769,arkivet,26-107491
7-889769,arkivet,26-107489
7-889769,arkivet,26-107492
7-889765,arkivet,26-107477
7-889765,arkivet,26-107474
7-889765,arkivet,26-107470
7-889765,arkivet,26-107468
7-889765,arkivet,26-107469
7-889765,arkivet,26-107471
7-889760,arkivet,26-107408
7-889760,arkivet,26-107433
7-889760,arkivet,26-107426
7-889760,arkivet,26-107413
7-889760,arkivet,26-107434
7-889760,arkivet,26-107436
7-889760,arkivet,26-107435
7-889760,arkivet,26-107411
7-889760,arkivet,26-107406
7-889760,arkivet,26-107410
7-889760,arkivet,26-107409
7-889760,arkivet,26-107424
7-889760,arkivet,26-107437
7-889760,arkivet,26-107438
7-889760,arkivet,26-107428
7-889760,arkivet,26-107412
7-889760,arkivet,26-107431
7-889760,arkivet,26-107430
7-889753,arkivet,26-107188
7-885951,arkivet,26-107021
7-885951,arkivet,26-106821
7-885951,arkivet,26-106824
7-887579,arkivet,26-107158
7-887579,arkivet,26-94889
7-887579,arkivet,26-107167
7-889576,arkivet,26-107064
7-889576,arkivet,26-107065
7-889576,arkivet,26-106263
7-885950,arkivet,26-106826
7-885952,arkivet,26-106833
7-885952,arkivet,26-107017
7-885952,arkivet,26-106825
7-889744,arkivet,26-105825
7-889744,arkivet,26-105826
7-889744,arkivet,26-106905
7-889744,arkivet,26-106906
7-889741,arkivet,26-106912
7-889741,arkivet,26-106966
7-889741,arkivet,26-106967
7-889741,arkivet,26-106969
7-889741,arkivet,26-106970
7-889741,arkivet,26-106900
7-889741,arkivet,26-106973
7-889736,arkivet,26-106842
7-889736,arkivet,26-106844
7-889736,arkivet,26-106843
7-889737,arkivet,26-106848
7-889737,arkivet,26-106839
7-889737,arkivet,26-106840
7-888924,arkivet,26-97104
7-888924,arkivet,26-106787
7-889732,arkivet,26-106556
7-889732,arkivet,26-106549
7-889732,arkivet,26-106550
7-889732,arkivet,26-106554
7-889732,arkivet,26-106551
