AID,SERVICE,MID
20-170391,elava-arkisto,26-53353
20-170391,elava-arkisto,26-39307
20-170391,elava-arkisto,26-26216
20-170391,elava-arkisto,26-3488
20-170391,elava-arkisto,26-39308
20-170391,elava-arkisto,26-39312
20-170391,elava-arkisto,26-26235
20-170391,elava-arkisto,26-23604
20-170391,elava-arkisto,26-109108
20-170391,elava-arkisto,26-21751
20-170391,elava-arkisto,26-38198
20-170391,elava-arkisto,26-73403
20-170391,elava-arkisto,26-35260
20-170391,elava-arkisto,26-15834
20-170391,elava-arkisto,26-49191
20-170391,elava-arkisto,26-76643
20-170391,elava-arkisto,26-47396
20-170391,elava-arkisto,26-84
20-170391,elava-arkisto,26-205
20-170391,elava-arkisto,26-275
20-170391,elava-arkisto,26-111455
20-170391,elava-arkisto,26-43199
20-170391,elava-arkisto,26-44679
20-170391,elava-arkisto,26-5072
20-170391,elava-arkisto,26-5074
20-170391,elava-arkisto,26-43668
20-170391,elava-arkisto,26-32761
20-170391,elava-arkisto,26-46703
20-170391,elava-arkisto,26-39133
20-170391,elava-arkisto,26-47484
20-170391,elava-arkisto,26-46601
20-170391,elava-arkisto,26-38384
20-170391,elava-arkisto,26-26398
20-170391,elava-arkisto,26-99454
20-170391,elava-arkisto,26-26347
20-170391,elava-arkisto,26-23490
20-170391,elava-arkisto,26-42059
20-170391,elava-arkisto,26-31249
20-170391,elava-arkisto,26-100540
20-170391,elava-arkisto,26-99910
20-170391,elava-arkisto,26-101196
20-170391,elava-arkisto,26-101194
20-170391,elava-arkisto,26-32667
20-170391,elava-arkisto,26-28760
20-170391,elava-arkisto,26-37514
20-170391,elava-arkisto,26-50030
20-170391,elava-arkisto,26-27840
20-170391,elava-arkisto,26-3013
20-170391,elava-arkisto,26-108847
20-170391,elava-arkisto,26-13621
20-170391,elava-arkisto,26-14656
20-170391,elava-arkisto,26-54473
20-170391,elava-arkisto,26-22243
20-170391,elava-arkisto,26-76553
20-170391,elava-arkisto,26-100090
20-170391,elava-arkisto,26-100007
20-170391,elava-arkisto,26-100015
20-170391,elava-arkisto,26-99145
20-170391,elava-arkisto,26-82527
20-170391,elava-arkisto,26-44961
20-170391,elava-arkisto,26-21026
20-170391,elava-arkisto,26-103495
20-170391,elava-arkisto,26-26444
20-170391,elava-arkisto,26-100682
20-170391,elava-arkisto,26-24918
20-170391,elava-arkisto,26-36161
20-170391,elava-arkisto,26-36162
20-170391,elava-arkisto,26-101158
20-170391,elava-arkisto,26-52762
20-170391,elava-arkisto,26-48381
20-170391,elava-arkisto,26-18045
20-170391,elava-arkisto,26-105864
20-170391,elava-arkisto,26-105931
20-170391,elava-arkisto,26-18715
20-170391,elava-arkisto,26-111671
20-170391,elava-arkisto,26-109948
20-170391,elava-arkisto,26-110258
20-170391,elava-arkisto,26-110292
20-170391,elava-arkisto,26-105128
20-170391,elava-arkisto,26-103136
20-170391,elava-arkisto,26-1431
20-170391,elava-arkisto,26-106357
20-170391,elava-arkisto,26-110679
20-170391,elava-arkisto,26-15129
20-170391,elava-arkisto,26-94584
20-170391,elava-arkisto,26-107276
20-170391,elava-arkisto,26-36914
20-170391,elava-arkisto,26-36915
20-170391,elava-arkisto,26-105075
20-170391,elava-arkisto,26-106895
20-170391,elava-arkisto,26-110126
20-170391,elava-arkisto,26-21189
20-170391,elava-arkisto,26-105973
20-173876,elava-arkisto,26-111889
20-173876,elava-arkisto,26-111893
20-173876,elava-arkisto,26-111891
20-173876,elava-arkisto,26-111892
20-173876,elava-arkisto,26-111887
20-173876,elava-arkisto,26-111886
20-173876,elava-arkisto,26-111890
20-173830,elava-arkisto,26-111877
20-173861,elava-arkisto,26-111894
20-173358,elava-arkisto,26-111843
20-173358,elava-arkisto,26-111858
20-173358,elava-arkisto,26-111855
20-173358,elava-arkisto,26-111856
20-173358,elava-arkisto,26-111876
20-173358,elava-arkisto,26-111854
20-173771,elava-arkisto,26-111860
20-173771,elava-arkisto,26-111873
20-173771,elava-arkisto,26-24528
20-173771,elava-arkisto,26-32001
20-173680,elava-arkisto,26-111853
20-173562,elava-arkisto,26-111849
20-171901,elava-arkisto,26-3269
20-171901,elava-arkisto,26-91302
20-171901,elava-arkisto,26-3300
20-171901,elava-arkisto,26-25532
20-171901,elava-arkisto,26-21786
20-171901,elava-arkisto,26-44010
20-171901,elava-arkisto,26-25452
20-171901,elava-arkisto,26-43114
20-171901,elava-arkisto,26-29534
20-171901,elava-arkisto,26-26004
20-171901,elava-arkisto,26-48993
20-171901,elava-arkisto,26-33847
20-171901,elava-arkisto,26-43170
20-171901,elava-arkisto,26-43179
20-171901,elava-arkisto,26-16258
20-171901,elava-arkisto,26-26790
20-171901,elava-arkisto,26-78333
20-171901,elava-arkisto,26-23101
20-171901,elava-arkisto,26-5728
20-171901,elava-arkisto,26-4330
20-171901,elava-arkisto,26-8940
20-171901,elava-arkisto,26-32949
20-171901,elava-arkisto,26-26077
20-171901,elava-arkisto,26-2617
20-171901,elava-arkisto,26-2624
20-171901,elava-arkisto,26-108869
20-171901,elava-arkisto,26-1334
20-171901,elava-arkisto,26-1217
20-171901,elava-arkisto,26-806
20-171901,elava-arkisto,26-105954
20-171901,elava-arkisto,26-107208
20-171901,elava-arkisto,26-51332
20-171901,elava-arkisto,26-91527
20-171901,elava-arkisto,26-44397
20-171901,elava-arkisto,26-42295
20-171901,elava-arkisto,26-9867
20-171901,elava-arkisto,26-31558
20-171901,elava-arkisto,26-8436
20-171901,elava-arkisto,26-35650
20-171901,elava-arkisto,26-48481
20-171901,elava-arkisto,26-53171
20-171901,elava-arkisto,26-26065
20-171901,elava-arkisto,26-32198
20-171901,elava-arkisto,26-97182
20-171901,elava-arkisto,26-21547
20-171901,elava-arkisto,26-4332
20-171901,elava-arkisto,26-25528
20-171901,elava-arkisto,26-50023
20-171901,elava-arkisto,26-97667
20-171901,elava-arkisto,26-71135
20-171901,elava-arkisto,26-42413
20-171901,elava-arkisto,26-44684
20-171901,elava-arkisto,26-53467
20-171901,elava-arkisto,26-18122
20-171901,elava-arkisto,26-44372
20-171901,elava-arkisto,26-19926
20-171901,elava-arkisto,26-4334
20-171901,elava-arkisto,26-106014
20-171901,elava-arkisto,26-20950
20-171901,elava-arkisto,26-8876
20-171901,elava-arkisto,26-8875
20-171901,elava-arkisto,26-24386
20-171901,elava-arkisto,26-21210
20-171901,elava-arkisto,26-36110
20-171901,elava-arkisto,26-23444
20-171901,elava-arkisto,26-20032
20-171901,elava-arkisto,26-111369
20-171901,elava-arkisto,26-110477
20-171901,elava-arkisto,26-107622
20-171901,elava-arkisto,26-108793
20-171901,elava-arkisto,26-6635
20-171901,elava-arkisto,26-23979
20-171901,elava-arkisto,26-35107
20-171901,elava-arkisto,26-100160
20-171901,elava-arkisto,26-80777
20-171901,elava-arkisto,26-80772
20-171901,elava-arkisto,26-35278
20-171901,elava-arkisto,26-44103
20-171901,elava-arkisto,26-77160
20-171901,elava-arkisto,26-99860
20-171901,elava-arkisto,26-104937
20-171901,elava-arkisto,26-92013
20-171901,elava-arkisto,26-97305
20-171901,elava-arkisto,26-15265
20-171901,elava-arkisto,26-35345
20-171901,elava-arkisto,26-48356
20-171901,elava-arkisto,26-11140
20-171901,elava-arkisto,26-104798
20-171901,elava-arkisto,26-101504
20-171901,elava-arkisto,26-84
20-171901,elava-arkisto,26-205
20-171901,elava-arkisto,26-77242
20-171901,elava-arkisto,26-32761
20-171901,elava-arkisto,26-16533
20-171901,elava-arkisto,26-2630
20-171901,elava-arkisto,26-77853
20-171901,elava-arkisto,26-109979
20-171901,elava-arkisto,26-91461
20-171901,elava-arkisto,26-2857
20-171901,elava-arkisto,26-5072
20-171901,elava-arkisto,26-22243
20-171901,elava-arkisto,26-22231
20-171901,elava-arkisto,26-105867
20-171901,elava-arkisto,26-111819
20-171901,elava-arkisto,26-81404
20-171901,elava-arkisto,26-4348
20-171901,elava-arkisto,26-4361
20-171901,elava-arkisto,26-26445
20-171901,elava-arkisto,26-100419
20-171901,elava-arkisto,26-1454
20-171901,elava-arkisto,26-2984
20-171901,elava-arkisto,26-95991
20-171901,elava-arkisto,26-95933
20-171901,elava-arkisto,26-39037
20-171901,elava-arkisto,26-39007
20-171901,elava-arkisto,26-93980
20-171901,elava-arkisto,26-110185
20-171901,elava-arkisto,26-36848
20-171901,elava-arkisto,26-109948
20-171901,elava-arkisto,26-14702
20-171901,elava-arkisto,26-110958
20-171901,elava-arkisto,26-37514
20-171901,elava-arkisto,26-41673
20-171901,elava-arkisto,26-99699
20-171901,elava-arkisto,26-29092
20-171901,elava-arkisto,26-36454
20-171901,elava-arkisto,26-40225
20-171901,elava-arkisto,26-39351
20-171901,elava-arkisto,26-50030
20-171901,elava-arkisto,26-39344
20-171901,elava-arkisto,26-33429
20-171901,elava-arkisto,26-23995
20-171901,elava-arkisto,26-41349
20-171901,elava-arkisto,26-104691
20-171901,elava-arkisto,26-22557
20-171901,elava-arkisto,26-25541
20-171901,elava-arkisto,26-38379
20-171901,elava-arkisto,26-14347
20-171901,elava-arkisto,26-14362
20-171901,elava-arkisto,26-107884
20-171901,elava-arkisto,26-109016
20-171901,elava-arkisto,26-42163
20-171901,elava-arkisto,26-101811
20-171901,elava-arkisto,26-91538
20-171901,elava-arkisto,26-50765
20-171901,elava-arkisto,26-51428
20-171901,elava-arkisto,26-42399
20-171901,elava-arkisto,26-110659
20-171901,elava-arkisto,26-44093
20-171901,elava-arkisto,26-25306
20-171901,elava-arkisto,26-49955
20-171901,elava-arkisto,26-40198
20-171901,elava-arkisto,26-105483
20-171901,elava-arkisto,26-4365
20-171901,elava-arkisto,26-111154
20-171901,elava-arkisto,26-3155
20-171901,elava-arkisto,26-95506
20-171901,elava-arkisto,26-48381
20-171901,elava-arkisto,26-17632
20-171901,elava-arkisto,26-49926
20-171901,elava-arkisto,26-81981
20-171901,elava-arkisto,26-107093
20-171901,elava-arkisto,26-107425
20-171901,elava-arkisto,26-96664
20-171901,elava-arkisto,26-37446
20-171901,elava-arkisto,26-48556
20-171901,elava-arkisto,26-72228
20-171901,elava-arkisto,26-38725
20-171901,elava-arkisto,26-50929
20-171901,elava-arkisto,26-96601
20-171901,elava-arkisto,26-103759
20-171901,elava-arkisto,26-107542
20-171901,elava-arkisto,26-98765
20-171901,elava-arkisto,26-100790
20-171901,elava-arkisto,26-99628
20-171901,elava-arkisto,26-79167
20-171901,elava-arkisto,26-106894
20-171901,elava-arkisto,26-104109
20-171901,elava-arkisto,26-105545
20-173658,elava-arkisto,26-38266
20-173658,elava-arkisto,26-36994
20-173415,elava-arkisto,26-111841
20-133029,elava-arkisto,26-109283
20-133029,elava-arkisto,26-109340
20-133029,elava-arkisto,26-109342
20-133029,elava-arkisto,26-109341
20-133029,elava-arkisto,26-109281
20-133029,elava-arkisto,26-109282
20-133029,elava-arkisto,26-109335
20-133029,elava-arkisto,26-109350
20-173268,elava-arkisto,26-20177
20-173268,elava-arkisto,26-11082
20-173268,elava-arkisto,26-19858
20-173268,elava-arkisto,26-20568
20-173268,elava-arkisto,26-20573
20-173268,elava-arkisto,26-18376
20-173268,elava-arkisto,26-18598
20-173268,elava-arkisto,26-50551
20-173268,elava-arkisto,26-32036
20-173268,elava-arkisto,26-32031
20-173268,elava-arkisto,26-14668
20-173268,elava-arkisto,26-76172
20-173268,elava-arkisto,26-17084
20-173268,elava-arkisto,26-17082
20-173268,elava-arkisto,26-17075
20-173268,elava-arkisto,26-109928
20-173268,elava-arkisto,26-109933
20-173268,elava-arkisto,26-93988
20-173268,elava-arkisto,26-102344
20-173268,elava-arkisto,26-101897
20-173268,elava-arkisto,26-27335
20-173268,elava-arkisto,26-105453
20-173268,elava-arkisto,26-47230
20-173268,elava-arkisto,26-99080
20-173268,elava-arkisto,26-43225
20-173268,elava-arkisto,26-102455
20-173268,elava-arkisto,26-2512
20-173268,elava-arkisto,26-105174
20-173268,elava-arkisto,26-23465
20-173268,elava-arkisto,26-91308
20-173268,elava-arkisto,26-3263
20-173268,elava-arkisto,26-2617
20-173268,elava-arkisto,26-33267
20-173268,elava-arkisto,26-26425
20-173268,elava-arkisto,26-26355
20-173268,elava-arkisto,26-26790
20-173268,elava-arkisto,26-16258
20-173268,elava-arkisto,26-107384
20-173268,elava-arkisto,26-1499
20-173268,elava-arkisto,26-20004
20-173268,elava-arkisto,26-25275
20-173268,elava-arkisto,26-76851
20-173268,elava-arkisto,26-7969
20-173268,elava-arkisto,26-5477
20-173268,elava-arkisto,26-111752
20-173268,elava-arkisto,26-4565
20-173268,elava-arkisto,26-81521
20-173268,elava-arkisto,26-13057
20-173268,elava-arkisto,26-81254
20-173268,elava-arkisto,26-108049
20-173268,elava-arkisto,26-94305
20-173268,elava-arkisto,26-20082
20-173268,elava-arkisto,26-35878
20-173268,elava-arkisto,26-22386
20-173268,elava-arkisto,26-50800
20-173268,elava-arkisto,26-32116
20-173268,elava-arkisto,26-46395
20-173268,elava-arkisto,26-12625
20-173268,elava-arkisto,26-3235
20-173268,elava-arkisto,26-15893
20-173268,elava-arkisto,26-27810
20-173268,elava-arkisto,26-27788
20-173268,elava-arkisto,26-51332
20-173268,elava-arkisto,26-29793
20-173268,elava-arkisto,26-22593
20-173268,elava-arkisto,26-10729
20-173268,elava-arkisto,26-12643
20-173268,elava-arkisto,26-110658
20-173268,elava-arkisto,26-108041
20-173268,elava-arkisto,26-91527
20-173268,elava-arkisto,26-111129
20-173268,elava-arkisto,26-23295
20-173268,elava-arkisto,26-111763
20-173268,elava-arkisto,26-20968
20-173268,elava-arkisto,26-8631
20-173268,elava-arkisto,26-10379
20-173268,elava-arkisto,26-26078
20-173268,elava-arkisto,26-9284
20-173268,elava-arkisto,26-28651
20-173268,elava-arkisto,26-111094
20-173268,elava-arkisto,26-30772
20-173268,elava-arkisto,26-39614
20-173268,elava-arkisto,26-8389
20-173268,elava-arkisto,26-12091
20-173268,elava-arkisto,26-9866
20-173268,elava-arkisto,26-35050
20-173268,elava-arkisto,26-48861
20-173268,elava-arkisto,26-76298
20-173268,elava-arkisto,26-2586
20-173268,elava-arkisto,26-97002
20-173268,elava-arkisto,26-1334
20-173268,elava-arkisto,26-93745
20-173268,elava-arkisto,26-93865
20-173268,elava-arkisto,26-6038
20-173268,elava-arkisto,26-18325
20-173268,elava-arkisto,26-51015
20-173268,elava-arkisto,26-96328
20-173268,elava-arkisto,26-77162
20-173268,elava-arkisto,26-27078
20-173268,elava-arkisto,26-111792
20-173268,elava-arkisto,26-24565
20-173268,elava-arkisto,26-2443
20-173268,elava-arkisto,26-111240
20-173268,elava-arkisto,26-25528
20-173268,elava-arkisto,26-16642
20-173268,elava-arkisto,26-26065
20-173268,elava-arkisto,26-21547
20-173268,elava-arkisto,26-26364
20-173268,elava-arkisto,26-78640
20-173268,elava-arkisto,26-43174
20-173268,elava-arkisto,26-43423
20-173268,elava-arkisto,26-42413
20-173268,elava-arkisto,26-15679
20-173268,elava-arkisto,26-6516
20-173268,elava-arkisto,26-6229
20-173268,elava-arkisto,26-105338
20-173268,elava-arkisto,26-41493
20-173268,elava-arkisto,26-32198
20-173268,elava-arkisto,26-97182
20-173268,elava-arkisto,26-76420
20-173268,elava-arkisto,26-12246
20-173268,elava-arkisto,26-95721
20-173268,elava-arkisto,26-35131
20-173268,elava-arkisto,26-54362
20-173268,elava-arkisto,26-104408
20-173268,elava-arkisto,26-35096
20-173268,elava-arkisto,26-35265
20-173268,elava-arkisto,26-35193
20-173268,elava-arkisto,26-110112
20-173268,elava-arkisto,26-35278
20-173268,elava-arkisto,26-18811
20-173268,elava-arkisto,26-35260
20-173268,elava-arkisto,26-35325
20-173268,elava-arkisto,26-100680
20-173268,elava-arkisto,26-5072
20-173268,elava-arkisto,26-11140
20-173268,elava-arkisto,26-84
20-173268,elava-arkisto,26-32761
20-173268,elava-arkisto,26-21839
20-173268,elava-arkisto,26-78746
20-173268,elava-arkisto,26-76201
20-173268,elava-arkisto,26-110292
20-173268,elava-arkisto,26-9855
20-173268,elava-arkisto,26-1454
20-173268,elava-arkisto,26-111771
20-173268,elava-arkisto,26-49191
20-173268,elava-arkisto,26-46703
20-173268,elava-arkisto,26-110125
20-173268,elava-arkisto,26-108267
20-173268,elava-arkisto,26-101196
20-173268,elava-arkisto,26-82687
20-173268,elava-arkisto,26-39529
20-173268,elava-arkisto,26-37995
20-173268,elava-arkisto,26-45016
20-173268,elava-arkisto,26-18945
20-173268,elava-arkisto,26-82264
20-173268,elava-arkisto,26-27934
20-173268,elava-arkisto,26-110807
20-173268,elava-arkisto,26-3013
20-173268,elava-arkisto,26-19926
20-173268,elava-arkisto,26-24941
20-173268,elava-arkisto,26-53247
20-173268,elava-arkisto,26-20041
20-173268,elava-arkisto,26-23444
20-173268,elava-arkisto,26-21751
20-173268,elava-arkisto,26-39351
20-173268,elava-arkisto,26-109023
20-173268,elava-arkisto,26-50030
20-173268,elava-arkisto,26-25970
20-173268,elava-arkisto,26-50913
20-173268,elava-arkisto,26-44314
20-173268,elava-arkisto,26-101158
20-173268,elava-arkisto,26-95506
20-173268,elava-arkisto,26-46280
20-173268,elava-arkisto,26-95628
20-173268,elava-arkisto,26-69995
20-173268,elava-arkisto,26-49955
20-173268,elava-arkisto,26-38434
20-173268,elava-arkisto,26-105075
20-173268,elava-arkisto,26-34319
20-173268,elava-arkisto,26-29643
20-173268,elava-arkisto,26-14656
20-173268,elava-arkisto,26-54121
20-173268,elava-arkisto,26-14347
20-173268,elava-arkisto,26-15076
20-173268,elava-arkisto,26-17638
20-173268,elava-arkisto,26-33788
20-173268,elava-arkisto,26-54737
20-173268,elava-arkisto,26-82542
20-173268,elava-arkisto,26-108434
20-172904,elava-arkisto,26-111818
20-172900,elava-arkisto,26-111825
20-172900,elava-arkisto,26-111827
20-172900,elava-arkisto,26-111826
20-172900,elava-arkisto,26-111824
20-171726,elava-arkisto,26-50644
20-171726,elava-arkisto,26-108893
20-171726,elava-arkisto,26-91539
20-171726,elava-arkisto,26-26359
20-171726,elava-arkisto,26-94437
20-171726,elava-arkisto,26-79910
20-171726,elava-arkisto,26-14678
20-171726,elava-arkisto,26-21260
20-171726,elava-arkisto,26-9310
20-171726,elava-arkisto,26-11915
20-171726,elava-arkisto,26-109467
20-171726,elava-arkisto,26-4176
20-171726,elava-arkisto,26-11064
20-171726,elava-arkisto,26-11062
20-171726,elava-arkisto,26-11065
20-171726,elava-arkisto,26-110459
20-171726,elava-arkisto,26-107382
20-171726,elava-arkisto,26-78333
20-171726,elava-arkisto,26-33101
20-171726,elava-arkisto,26-104613
20-171726,elava-arkisto,26-97169
20-171726,elava-arkisto,26-97232
20-171726,elava-arkisto,26-20177
20-171726,elava-arkisto,26-19858
20-171726,elava-arkisto,26-111475
20-171726,elava-arkisto,26-97717
20-171726,elava-arkisto,26-109957
20-171726,elava-arkisto,26-49486
20-171726,elava-arkisto,26-43125
20-171726,elava-arkisto,26-5562
20-171726,elava-arkisto,26-3680
20-171726,elava-arkisto,26-109039
20-171726,elava-arkisto,26-10260
20-171726,elava-arkisto,26-103480
20-171726,elava-arkisto,26-91461
20-171726,elava-arkisto,26-27239
20-171726,elava-arkisto,26-1765
20-171726,elava-arkisto,26-7969
20-171726,elava-arkisto,26-108489
20-171726,elava-arkisto,26-26077
20-171726,elava-arkisto,26-23397
20-171726,elava-arkisto,26-22445
20-171726,elava-arkisto,26-111094
20-171726,elava-arkisto,26-21338
20-171726,elava-arkisto,26-21548
20-171726,elava-arkisto,26-21549
20-171726,elava-arkisto,26-82406
20-171726,elava-arkisto,26-111792
20-171726,elava-arkisto,26-111793
20-171726,elava-arkisto,26-26711
20-171726,elava-arkisto,26-50023
20-171726,elava-arkisto,26-26065
20-171726,elava-arkisto,26-42654
20-171726,elava-arkisto,26-109708
20-171726,elava-arkisto,26-19407
20-171726,elava-arkisto,26-26713
20-171726,elava-arkisto,26-105755
20-171726,elava-arkisto,26-106341
20-171726,elava-arkisto,26-19926
20-171726,elava-arkisto,26-37028
20-171726,elava-arkisto,26-23771
20-171726,elava-arkisto,26-102511
20-171726,elava-arkisto,26-35260
20-171726,elava-arkisto,26-84
20-171726,elava-arkisto,26-109147
20-171726,elava-arkisto,26-96158
20-171726,elava-arkisto,26-26444
20-171726,elava-arkisto,26-19191
20-171726,elava-arkisto,26-52438
20-171726,elava-arkisto,26-39344
20-171726,elava-arkisto,26-102709
20-171726,elava-arkisto,26-20705
20-171726,elava-arkisto,26-1454
20-171726,elava-arkisto,26-95506
20-171726,elava-arkisto,26-94593
20-171726,elava-arkisto,26-26446
20-171726,elava-arkisto,26-15499
20-171726,elava-arkisto,26-52388
20-171726,elava-arkisto,26-54707
20-171726,elava-arkisto,26-69930
20-171726,elava-arkisto,26-465
20-173088,elava-arkisto,26-111831
20-171123,elava-arkisto,26-111754
20-171123,elava-arkisto,26-111085
20-171123,elava-arkisto,26-111729
20-171123,elava-arkisto,26-111728
20-171123,elava-arkisto,26-111727
20-171123,elava-arkisto,26-24686
20-171123,elava-arkisto,26-111763
20-171123,elava-arkisto,26-111742
20-171123,elava-arkisto,26-111765
20-171123,elava-arkisto,26-21281
20-171123,elava-arkisto,26-111737
20-171123,elava-arkisto,26-24705
20-171123,elava-arkisto,26-111769
20-171123,elava-arkisto,26-21128
20-171123,elava-arkisto,26-25058
20-171123,elava-arkisto,26-111767
20-171123,elava-arkisto,26-24641
20-171123,elava-arkisto,26-111739
20-171123,elava-arkisto,26-25228
20-171123,elava-arkisto,26-25126
20-171123,elava-arkisto,26-19299
20-171123,elava-arkisto,26-24646
20-171123,elava-arkisto,26-21283
20-171123,elava-arkisto,26-21177
20-171123,elava-arkisto,26-21132
20-171123,elava-arkisto,26-21193
20-171123,elava-arkisto,26-111771
20-171123,elava-arkisto,26-21235
20-171123,elava-arkisto,26-21243
20-171123,elava-arkisto,26-24712
20-172724,elava-arkisto,26-111816
20-171658,elava-arkisto,26-111852
20-172337,elava-arkisto,26-111794
20-172337,elava-arkisto,26-111796
20-172337,elava-arkisto,26-111804
20-172337,elava-arkisto,26-111800
20-172337,elava-arkisto,26-111795
20-172337,elava-arkisto,26-111799
20-172337,elava-arkisto,26-111803
20-172337,elava-arkisto,26-111798
20-172337,elava-arkisto,26-111806
20-172337,elava-arkisto,26-111801
20-172337,elava-arkisto,26-111802
20-172337,elava-arkisto,26-111805
20-171955,elava-arkisto,26-102409
20-171955,elava-arkisto,26-102435
20-171955,elava-arkisto,26-105734
20-171955,elava-arkisto,26-104845
20-171955,elava-arkisto,26-109463
20-171955,elava-arkisto,26-11063
20-171955,elava-arkisto,26-25211
20-171955,elava-arkisto,26-10310
20-171955,elava-arkisto,26-10150
20-171955,elava-arkisto,26-39363
20-171955,elava-arkisto,26-11064
20-171955,elava-arkisto,26-20177
20-171955,elava-arkisto,26-12766
20-171955,elava-arkisto,26-4343
20-171955,elava-arkisto,26-19112
20-171955,elava-arkisto,26-11080
20-171955,elava-arkisto,26-50798
20-171955,elava-arkisto,26-21260
20-171955,elava-arkisto,26-76869
20-171955,elava-arkisto,26-32050
20-171955,elava-arkisto,26-32052
20-171955,elava-arkisto,26-13941
20-171955,elava-arkisto,26-13950
20-171955,elava-arkisto,26-13963
20-171955,elava-arkisto,26-111746
20-171955,elava-arkisto,26-34393
20-171955,elava-arkisto,26-76392
20-171955,elava-arkisto,26-111240
20-171955,elava-arkisto,26-3322
20-171955,elava-arkisto,26-2939
20-171955,elava-arkisto,26-111284
20-171955,elava-arkisto,26-105835
20-171955,elava-arkisto,26-105242
20-171955,elava-arkisto,26-42621
20-171955,elava-arkisto,26-48873
20-171955,elava-arkisto,26-110057
20-171955,elava-arkisto,26-110358
20-171955,elava-arkisto,26-110362
20-171955,elava-arkisto,26-104425
20-171955,elava-arkisto,26-105088
20-171955,elava-arkisto,26-80208
20-171955,elava-arkisto,26-80207
20-171955,elava-arkisto,26-2402
20-171955,elava-arkisto,26-98066
20-171955,elava-arkisto,26-98067
20-171955,elava-arkisto,26-32031
20-171955,elava-arkisto,26-100899
20-171955,elava-arkisto,26-15054
20-171955,elava-arkisto,26-108306
20-171955,elava-arkisto,26-1237
20-171955,elava-arkisto,26-108828
20-171955,elava-arkisto,26-109025
20-171955,elava-arkisto,26-26328
20-171955,elava-arkisto,26-41047
20-171955,elava-arkisto,26-102041
20-171955,elava-arkisto,26-110979
20-171955,elava-arkisto,26-96328
20-171955,elava-arkisto,26-26066
20-171955,elava-arkisto,26-106011
20-171955,elava-arkisto,26-41975
20-171955,elava-arkisto,26-100429
20-171955,elava-arkisto,26-82029
20-171955,elava-arkisto,26-110341
20-171955,elava-arkisto,26-45037
20-171955,elava-arkisto,26-25528
20-171955,elava-arkisto,26-50023
20-171955,elava-arkisto,26-44372
20-171955,elava-arkisto,26-42654
20-171955,elava-arkisto,26-27078
20-171955,elava-arkisto,26-53752
20-171955,elava-arkisto,26-109708
20-171955,elava-arkisto,26-54362
20-171955,elava-arkisto,26-42000
20-171955,elava-arkisto,26-110477
20-171955,elava-arkisto,26-108923
20-171955,elava-arkisto,26-100739
20-171955,elava-arkisto,26-106721
20-171955,elava-arkisto,26-31980
20-171955,elava-arkisto,26-96388
20-171955,elava-arkisto,26-38198
20-171955,elava-arkisto,26-35260
20-171955,elava-arkisto,26-52989
20-171955,elava-arkisto,26-29000
20-171955,elava-arkisto,26-110120
20-171955,elava-arkisto,26-94675
20-171955,elava-arkisto,26-95819
20-171955,elava-arkisto,26-98599
20-171955,elava-arkisto,26-105867
20-171955,elava-arkisto,26-54546
20-171955,elava-arkisto,26-54600
20-171955,elava-arkisto,26-94475
20-171955,elava-arkisto,26-108890
20-171955,elava-arkisto,26-106357
20-171955,elava-arkisto,26-105457
20-171955,elava-arkisto,26-102187
20-171955,elava-arkisto,26-104315
20-171955,elava-arkisto,26-100380
20-171955,elava-arkisto,26-45068
20-171955,elava-arkisto,26-92093
20-171955,elava-arkisto,26-98025
20-171955,elava-arkisto,26-51828
20-171955,elava-arkisto,26-69995
20-171655,elava-arkisto,26-111760
20-171655,elava-arkisto,26-111783
20-171655,elava-arkisto,26-111785
20-171655,elava-arkisto,26-111786
20-171655,elava-arkisto,26-111787
20-171720,elava-arkisto,26-25211
20-171720,elava-arkisto,26-14666
20-171720,elava-arkisto,26-98190
20-171720,elava-arkisto,26-32220
20-171720,elava-arkisto,26-1789
20-171720,elava-arkisto,26-17075
20-171720,elava-arkisto,26-17073
20-171720,elava-arkisto,26-11063
20-171720,elava-arkisto,26-11064
20-171720,elava-arkisto,26-51685
20-171720,elava-arkisto,26-43415
20-171720,elava-arkisto,26-43417
20-171720,elava-arkisto,26-43416
20-171720,elava-arkisto,26-39251
20-171720,elava-arkisto,26-32318
20-171720,elava-arkisto,26-3019
20-171720,elava-arkisto,26-39858
20-171720,elava-arkisto,26-54188
20-171720,elava-arkisto,26-13991
20-171720,elava-arkisto,26-53080
20-171720,elava-arkisto,26-13992
20-171720,elava-arkisto,26-102141
20-171720,elava-arkisto,26-107498
20-171720,elava-arkisto,26-12338
20-171720,elava-arkisto,26-111774
20-171720,elava-arkisto,26-10331
20-171720,elava-arkisto,26-5347
20-171720,elava-arkisto,26-28125
20-171720,elava-arkisto,26-18587
20-171720,elava-arkisto,26-6843
20-171720,elava-arkisto,26-14478
20-171720,elava-arkisto,26-3675
20-171720,elava-arkisto,26-78333
20-171720,elava-arkisto,26-20286
20-171720,elava-arkisto,26-76288
20-171720,elava-arkisto,26-894
20-171720,elava-arkisto,26-895
20-171720,elava-arkisto,26-14737
20-171720,elava-arkisto,26-97717
20-171720,elava-arkisto,26-106507
20-171720,elava-arkisto,26-110269
20-171720,elava-arkisto,26-29720
20-171720,elava-arkisto,26-9545
20-171720,elava-arkisto,26-78633
20-171720,elava-arkisto,26-40736
